Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
C2_v1,DistilBERT,eval,4,0.93475,0.9347857574817636,0.9348904929942916,0.93475,0.2254306375980377,50000,28.4194,703.746,87.968
C2_v1,DistilBERT,train,4,0.94151,0.9415693704933934,0.9417118241114484,0.94151,0.1906717121601104,50000,145.0731,689.307,86.163
C2_v1,DistilBERT,eval,3,0.9323,0.9321430135499352,0.9325807019613608,0.9323,0.2277332097291946,37500,28.2134,708.884,88.61
C2_v1,DistilBERT,train,3,0.93842,0.938292972484727,0.93870010363793,0.93842,0.1982159316539764,37500,143.791,695.454,86.932
C2_v1,DistilBERT,eval,2,0.92765,0.9276289782730078,0.9288832685045756,0.92765,0.2406220734119415,25000,27.9212,716.302,89.538
C2_v1,DistilBERT,train,2,0.93211,0.932129219732452,0.93339760625719,0.93211,0.2178139388561248,25000,144.0582,694.164,86.77
C2_v1,DistilBERT,eval,1,0.92085,0.9206765465131956,0.921525741017482,0.92085,0.2495107948780059,12500,28.5373,700.837,87.605
C2_v1,DistilBERT,train,1,0.92383,0.9236918780724336,0.9245075157995928,0.92383,0.2356195449829101,12500,144.82,690.512,86.314
C2_v1,DistilBERT,train,5,0.94473,0.9447515765564808,0.9450321457752192,0.94473,0.1790545433759689,62500,143.9069,694.894,86.862
C2_v2,DistilBERT,train,7,0.9269,0.9267968555259034,0.9270800431850942,0.9269,0.2297769784927368,87500,151.0775,661.912,82.739
C2_v2,DistilBERT,eval,7,0.92455,0.9244161154809636,0.9246878506227296,0.92455,0.2451561540365219,87500,29.6712,674.054,84.257
C2_v2,DistilBERT,eval,8,0.9257,0.9256270079367376,0.925874939189784,0.9257,0.2425016164779663,100000,29.5456,676.921,84.615
C2_v2,DistilBERT,eval,6,0.92255,0.92242976091752,0.9228824531436656,0.92255,0.2472117245197296,75000,29.6735,674.003,84.25
C2_v2,DistilBERT,eval,9,0.92545,0.9253514702709468,0.9255901993956565,0.92545,0.2412881106138229,112500,29.854,669.926,83.741
C2_v2,DistilBERT,train,10,0.92872,0.9286639556875822,0.9289617459533902,0.92872,0.22485913336277,125000,149.2265,670.122,83.765
C2_v2,DistilBERT,eval,10,0.92565,0.925557578314921,0.9258304031225292,0.92565,0.2413739264011383,125000,29.067,688.066,86.008
C2_v2,DistilBERT,train,9,0.92838,0.9283092404308506,0.9285601143226774,0.92838,0.2249430418014526,112500,150.8811,662.773,82.847
C2_v2,DistilBERT,train,6,0.92524,0.9251487359000922,0.9255896396273796,0.92524,0.2327334582805633,75000,151.5696,659.763,82.47
C2_v2,DistilBERT,train,8,0.92786,0.9278236102545953,0.9281183721185012,0.92786,0.226319134235382,100000,151.1462,661.611,82.701
C2_v2,DistilBERT,train,5,0.92312,0.9230884365718912,0.9234334268231956,0.92312,0.2354649156332016,62500,149.9224,667.012,83.376
C2_v2,DistilBERT,eval,1,0.9062,0.906087260628486,0.9067942290705184,0.9062,0.2992389500141144,12500,29.5014,677.933,84.742
C2_v2,DistilBERT,train,2,0.91305,0.9128862224813236,0.9141093365951642,0.91305,0.2682885825634002,25000,149.7029,667.99,83.499
C2_v2,DistilBERT,eval,2,0.91085,0.9106561368617222,0.9118973003983648,0.91085,0.2790378034114837,25000,29.8689,669.592,83.699
C2_v2,DistilBERT,train,3,0.91662,0.9164761977418774,0.9169630123866788,0.91662,0.2523271143436432,37500,150.5082,664.416,83.052
C2_v2,DistilBERT,train,1,0.90727,0.9071758009280784,0.9078382334555336,0.90727,0.2899806499481201,12500,149.4482,669.128,83.641
C2_v2,DistilBERT,eval,3,0.9151,0.9149258340153698,0.9154553421362074,0.9151,0.263693243265152,37500,29.4266,679.657,84.957
C2_v2,DistilBERT,train,4,0.92001,0.9199525986587196,0.9202522153038696,0.92001,0.2424565553665161,50000,150.2021,665.77,83.221
C2_v2,DistilBERT,eval,4,0.919,0.9189177530682524,0.9192271639008324,0.919,0.2547972202301025,50000,29.4298,679.583,84.948
C2_v2,DistilBERT,eval,5,0.9206,0.9205456438443128,0.9208933458365548,0.9206,0.2487945109605789,62500,29.8781,669.387,83.673
C3_v1,RoBERTa,eval,6,0.94095,0.9409124336550556,0.9412387915882052,0.94095,0.2185813784599304,75000,52.6026,380.209,47.526
C3_v1,RoBERTa,train,10,0.94909,0.949109803778078,0.9492583919890574,0.94909,0.1773219853639602,125000,266.6752,374.988,46.874
C3_v1,RoBERTa,eval,9,0.94155,0.9415257547826524,0.941640948756966,0.94155,0.2186204642057418,112500,52.7235,379.338,47.417
C3_v1,RoBERTa,train,9,0.94883,0.9488177472424338,0.9489767292522662,0.94883,0.1774356663227081,112500,267.6515,373.62,46.703
C3_v1,RoBERTa,eval,8,0.9407,0.9407233787414458,0.9409595090920648,0.9407,0.221632719039917,100000,52.6613,379.785,47.473
C3_v1,RoBERTa,train,8,0.94813,0.9481693845584752,0.9484188775047452,0.94813,0.1815742999315261,100000,267.0269,374.494,46.812
C3_v1,RoBERTa,eval,7,0.94115,0.9411358917947424,0.9412270068510248,0.94115,0.2171345949172973,87500,52.5812,380.364,47.546
C3_v1,RoBERTa,train,7,0.9476,0.947599325651601,0.9477017158398056,0.9476,0.1793848574161529,87500,267.1862,374.271,46.784
C3_v1,RoBERTa,train,6,0.94664,0.946623124369337,0.9469402532745432,0.94664,0.1837067604064941,75000,266.8553,374.735,46.842
C3_v1,RoBERTa,eval,10,0.94175,0.9417583660328004,0.9418749061490096,0.94175,0.2186288386583328,125000,52.8694,378.291,47.286
C3_v1,RoBERTa,train,5,0.94492,0.9449142261582096,0.9451462080511548,0.94492,0.1924358755350113,62500,267.6419,373.634,46.704
C3_v1,RoBERTa,train,1,0.92731,0.9271912913870388,0.927469478152028,0.92731,0.2285468578338623,12500,266.1629,375.71,46.964
C3_v1,RoBERTa,eval,1,0.9244,0.9242586964774,0.9245561321546266,0.9244,0.2396011650562286,12500,52.0333,384.369,48.046
C3_v1,RoBERTa,train,2,0.93407,0.9340568488183952,0.9351943971724324,0.93407,0.2241353541612625,25000,265.1011,377.215,47.152
C3_v1,RoBERTa,eval,2,0.9315,0.931456435016615,0.9326134024794114,0.9315,0.2424025386571884,25000,52.1883,383.228,47.903
C3_v1,RoBERTa,eval,5,0.9389,0.9388719223574132,0.9391001909398976,0.9389,0.2267939001321792,62500,52.4543,381.284,47.66
C3_v1,RoBERTa,eval,3,0.93545,0.9353799583129648,0.9354188436251448,0.93545,0.2296861261129379,37500,52.1344,383.624,47.953
C3_v1,RoBERTa,train,4,0.94179,0.941798221530962,0.9418683980526992,0.94179,0.1961871683597564,50000,266.4278,375.336,46.917
C3_v1,RoBERTa,eval,4,0.93675,0.9367566443781356,0.9368418067454592,0.93675,0.2251972109079361,50000,52.8102,378.715,47.339
C3_v1,RoBERTa,train,3,0.93961,0.9395417170051156,0.9395534708176688,0.93961,0.2054909020662307,37500,265.9824,375.965,46.996
C3_v2,RoBERTa,train,6,0.9286,0.9284885601451648,0.9288964118745048,0.9286,0.2376130074262619,75000,267.9045,373.267,46.658
C3_v2,RoBERTa,train,10,0.93189,0.9318354040953312,0.932056448667254,0.93189,0.2297747880220413,125000,267.9217,373.243,46.655
C3_v2,RoBERTa,eval,9,0.9283,0.9282024693200148,0.9284272105601378,0.9283,0.2454889714717865,112500,52.663,379.773,47.472
C3_v2,RoBERTa,train,9,0.93185,0.9317767901111318,0.9319787911198584,0.93185,0.2297957390546798,112500,268.8396,371.969,46.496
C3_v2,RoBERTa,eval,8,0.9279,0.9278175604458236,0.9280115506651913,0.9279,0.2466576099395752,100000,53.0957,376.678,47.085
C3_v2,RoBERTa,train,8,0.93109,0.9310253633139566,0.9311881019436364,0.93109,0.2312047332525253,100000,267.4007,373.971,46.746
C3_v2,RoBERTa,eval,7,0.9261,0.9259843162788304,0.9261708784082824,0.9261,0.2473473399877548,87500,52.3946,381.718,47.715
C3_v2,RoBERTa,train,7,0.92995,0.9298552169473088,0.930053435138852,0.92995,0.2326544523239135,87500,267.7331,373.506,46.688
C3_v2,RoBERTa,eval,6,0.9251,0.924984478650752,0.9254239850642576,0.9251,0.2511455118656158,75000,52.3576,381.988,47.749
C3_v2,RoBERTa,eval,10,0.92875,0.9286740178680708,0.928924147504306,0.92875,0.2456347942352295,125000,52.6219,380.07,47.509
C3_v2,RoBERTa,eval,5,0.92275,0.9225899808849288,0.9228257348327914,0.92275,0.2539500892162323,62500,52.7481,379.16,47.395
C3_v2,RoBERTa,eval,4,0.9215,0.9213615556549152,0.9215439593249182,0.9215,0.2578869760036468,50000,52.953,377.694,47.212
C3_v2,RoBERTa,train,4,0.92472,0.924614093255282,0.9248143507444104,0.92472,0.2467935681343078,50000,267.3182,374.086,46.761
C3_v2,RoBERTa,eval,3,0.92005,0.9198615491332198,0.9201948126065034,0.92005,0.2683550715446472,37500,53.0023,377.342,47.168
C3_v2,RoBERTa,train,3,0.92247,0.9223196134598176,0.9226195586717264,0.92247,0.2582640349864959,37500,267.1748,374.287,46.786
C3_v2,RoBERTa,eval,2,0.9164,0.9162584209711138,0.9171712928876068,0.9164,0.2811433672904968,25000,52.7822,378.916,47.364
C3_v2,RoBERTa,train,2,0.91812,0.9180073677138616,0.9188351640989652,0.91812,0.2724318504333496,25000,267.4456,373.908,46.738
C3_v2,RoBERTa,eval,1,0.90995,0.9098336087931636,0.9101007816969268,0.90995,0.2971359491348266,12500,52.2965,382.435,47.804
C3_v2,RoBERTa,train,1,0.91172,0.9116399916848736,0.9119405842416716,0.91172,0.2898061871528625,12500,266.8926,374.683,46.835
C3_v2,RoBERTa,train,5,0.92693,0.926799379105407,0.9270363054554338,0.92693,0.2415337860584259,62500,267.9878,373.151,46.644
D1_v1,BERT,train,7,0.94355,0.9434726262932966,0.9440873762744232,0.94355,0.200642243027687,87500,273.7669,365.274,45.659
D1_v1,BERT,eval,7,0.9335,0.9333835014142036,0.9340406036442476,0.9335,0.2443584650754928,87500,53.9639,370.618,46.327
D1_v1,BERT,train,8,0.94557,0.9455683172970109,0.9460778711032,0.94557,0.1983081698417663,100000,275.4601,363.029,45.379
D1_v1,BERT,eval,6,0.9342,0.9341696660119356,0.9344623575388196,0.9342,0.2450700998306274,75000,54.0257,370.194,46.274
D1_v1,BERT,train,9,0.94607,0.9460479257381336,0.9465088770667224,0.94607,0.19674052298069,112500,274.1221,364.801,45.6
D1_v1,BERT,eval,9,0.93495,0.9349113114305768,0.9354437441153792,0.93495,0.244897186756134,112500,54.5153,366.87,45.859
D1_v1,BERT,train,10,0.94615,0.9461486271153636,0.9466225033440014,0.94615,0.194335862994194,125000,274.6457,364.105,45.513
D1_v1,BERT,eval,8,0.9353,0.9352758446913052,0.9358244025032452,0.9353,0.244782418012619,100000,54.4587,367.251,45.906
D1_v1,BERT,train,6,0.94319,0.9431827334704086,0.9434445091513718,0.94319,0.2031770348548889,75000,275.3042,363.235,45.404
D1_v1,BERT,eval,10,0.935,0.9349725389273474,0.9354989949505575,0.935,0.2425751239061355,125000,54.0506,370.024,46.253
D1_v1,BERT,train,5,0.94021,0.940228311345268,0.9408860644166877,0.94021,0.2152014672756195,62500,275.1636,363.42,45.428
D1_v1,BERT,train,1,0.91383,0.9137769551545256,0.915873148044992,0.91383,0.289566695690155,12500,274.1576,364.754,45.594
D1_v1,BERT,eval,1,0.9106,0.910527234409216,0.9129628257647804,0.9106,0.303865522146225,12500,53.6148,373.032,46.629
D1_v1,BERT,train,2,0.9251,0.9251006207217588,0.9268955724056992,0.9251,0.2663021087646484,25000,275.685,362.733,45.342
D1_v1,BERT,eval,2,0.9213,0.9212726705149828,0.9232661695397228,0.9213,0.2867117822170257,25000,53.6558,372.746,46.593
D1_v1,BERT,eval,5,0.93225,0.9322573706155116,0.933013295477384,0.93225,0.2533969283103943,62500,53.7812,371.877,46.485
D1_v1,BERT,eval,3,0.92975,0.9296511028703528,0.9302205520072367,0.92975,0.2594787776470184,37500,53.5618,373.4,46.675
D1_v1,BERT,train,4,0.93776,0.9377865898164456,0.9379462983904224,0.93776,0.2151890993118286,50000,276.0038,362.314,45.289
D1_v1,BERT,eval,4,0.9322,0.9322192282860204,0.93241200348897,0.9322,0.2451369166374206,50000,53.9723,370.561,46.32
D1_v1,BERT,train,3,0.93366,0.9335730303458007,0.9339967099145504,0.93366,0.2341507375240326,37500,273.4166,365.742,45.718
